,value
2001-04-30,83.423
2001-03-30,76.8564
2001-02-28,81.4147
2001-01-31,89.9996
2000-12-29,86.1686
2000-11-30,86.6149
2000-10-31,93.6027
2000-09-29,94.0426
2000-08-31,99.4957
2000-07-31,93.3933
2000-06-30,94.8832
2000-05-31,93.0497
2000-04-28,94.536
2000-03-31,97.977
2000-02-29,89.3222
2000-01-31,90.7032
1999-12-31,95.4557
