,value
2001-05-31,14.9681
2001-04-30,14.7515
2001-03-30,14.4705
2001-02-28,15.5481
2001-01-31,15.4547
2000-12-29,16.6687
2000-11-30,16.084
2000-10-31,15.5487
2000-09-29,14.5361
2000-08-31,13.9243
2000-07-31,14.0924
2000-06-30,14.6257
2000-05-31,13.8455
2000-04-28,12.9202
2000-03-31,12.2724
2000-02-29,11.8293
2000-01-31,13.3915
1999-12-31,13.2762
