,value
2001-04-30,20.3464
2001-03-30,18.9476
2001-02-28,20.2437
2001-01-31,20.6393
2000-12-29,19.2478
2000-11-30,18.8967
2000-10-31,20.7927
2000-09-29,20.4826
2000-08-31,21.2579
2000-07-31,20.5319
2000-06-30,20.835
2000-05-31,20.7927
2000-04-28,21.3637
2000-03-31,21.6174
2000-02-29,19.8342
2000-01-31,21.2227
1999-12-31,21.7725
