,value
2001-05-31,18.6915
2001-04-30,18.8697
2001-03-30,17.1037
2001-02-28,17.6289
2001-01-31,17.8455
2000-12-29,18.4343
2000-11-30,16.7241
2000-10-31,17.6544
2000-09-29,18.1473
2000-08-31,17.8561
2000-07-31,16.097
2000-06-30,16.7311
2000-05-31,17.7113
2000-04-28,15.8507
2000-03-31,16.0867
2000-02-29,14.3082
2000-01-31,14.9372
1999-12-31,14.8169
