,value
2001-05-31,20.2639
2001-04-30,19.4499
2001-03-30,17.4544
2001-02-28,19.3014
2001-01-31,20.5319
2000-12-29,20.4534
2000-11-30,19.6764
2000-10-31,20.3672
2000-09-29,19.9175
2000-08-31,20.5116
2000-07-31,18.6658
2000-06-30,18.3799
2000-05-31,19.1327
2000-04-28,19.217
2000-03-31,18.9381
2000-02-29,16.627
2000-01-31,17.5979
1999-12-31,19.1641
