,value
2001-04-30,13.4733
2001-03-30,12.1747
2001-02-28,12.816
2001-01-31,12.6522
2000-12-29,12.9981
2000-11-30,11.3306
2000-10-31,11.6246
2000-09-29,10.6838
2000-08-31,11.8477
2000-07-31,11.5789
2000-06-30,11.4795
2000-05-31,12.555
2000-04-28,12.9622
2000-03-31,13.4102
2000-02-29,12.1758
2000-01-31,13.5396
1999-12-31,15.4258
