,value
2001-05-31,14.7632
2001-04-30,14.141
2001-03-30,13.6474
2001-02-28,14.0681
2001-01-31,15.0828
2000-12-29,15.1187
2000-11-30,13.9291
2000-10-31,14.6797
2000-09-29,14.8073
2000-08-31,14.4922
2000-07-31,13.1534
2000-06-30,12.0896
2000-05-31,12.7051
2000-04-28,12.4261
2000-03-31,12.3095
2000-02-29,10.4049
2000-01-31,11.6531
1999-12-31,12.0119
