,value
2001-04-30,20.8476
2001-03-30,19.9236
2001-02-28,20.2174
2001-01-31,21.772
2000-12-29,19.5011
2000-11-30,18.2194
2000-10-31,18.6831
2000-09-29,18.9187
2000-08-31,18.8941
2000-07-31,19.713
2000-06-30,19.4021
2000-05-31,20.5146
2000-04-28,21.6875
2000-03-31,22.1491
2000-02-29,19.4024
2000-01-31,20.5428
1999-12-31,23.4581
